dataset	compound_inchikey	canonical_smiles	parent_status	parent_smiles	parent_key	parent_formula
external	IVVNZDGDKPTYHK-UHFFFAOYSA-N	CC(NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C	ok	CC(N=C(N=c1cc[nH]cc1)NC#N)C(C)(C)C	IVVNZDGDKPTYHK-UHFFFAOYSA-N	C13H19N5
external	IWAUXKQGXMTXLR-UHFFFAOYSA-N	CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O	ok	CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O	IWAUXKQGXMTXLR-UHFFFAOYSA-N	C18H26NO3+
external	IWDCLRJOBJJRNH-UHFFFAOYSA-N	Cc1ccc(O)cc1	ok	Cc1ccc(O)cc1	IWDCLRJOBJJRNH-UHFFFAOYSA-N	C7H8O
external	IWIANZLCJVYEFX-UHFFFAOYSA-N	O=C(O)C(Cc1ccccc1)N=C(O)C1CCCN1	ok	O=C(O)C(Cc1ccccc1)NC(=O)C1CCCN1	IWIANZLCJVYEFX-UHFFFAOYSA-N	C14H18N2O3
external	IWJBVMJWSPZNJH-UHFFFAOYSA-N	CCOC1OC(C(=O)O)C(O)C(O)C1O	ok	CCOC1OC(C(=O)O)C(O)C(O)C1O	IWJBVMJWSPZNJH-UHFFFAOYSA-N	C8H14O7
external	IWPOSDLLFZKGOW-UHFFFAOYSA-N	CCCCC=CCC(=O)O	ok	CCCCC=CCC(=O)O	IWPOSDLLFZKGOW-UHFFFAOYSA-N	C8H14O2
external	IXAPYQICIDTITB-UHFFFAOYSA-N	CN1CCN2c3cc(O)ccc3Cc3ccccc3C2C1	ok	CN1CCN2c3cc(O)ccc3Cc3ccccc3C2C1	IXAPYQICIDTITB-UHFFFAOYSA-N	C18H20N2O
external	IXEQEYRTSRFZEO-UHFFFAOYSA-N	COc1ccc2nc(S(=O)(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1	ok	COc1ccc2[nH]c(S(=O)(=O)Cc3ncc(C)c(OC)c3C)nc2c1	IXEQEYRTSRFZEO-UHFFFAOYSA-N	C17H19N3O4S
external	IXHBTMCLRNMKHZ-UHFFFAOYSA-N	CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O	ok	CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O	IXHBTMCLRNMKHZ-UHFFFAOYSA-N	C17H25NO3
external	IXOVDWXTIIYVOJ-UHFFFAOYSA-N	CCCN1CCCCC1C(O)=Nc1c(C)ccc(O)c1C	ok	CCCN1CCCCC1C(=O)Nc1c(C)ccc(O)c1C	IXOVDWXTIIYVOJ-UHFFFAOYSA-N	C17H26N2O2
