query	panel	group	method	domain	candidates	positives	deterministic_RR	tie_averaged_RR	conditional_defined
513201b5e9cd85ea1a2bf16f34b4e24f4396b3afdbe931c3ea42723a92c35334	protein_cold:p1:cNone	101f25214cc8265040d6b9b1ef88e19fa0dea19714c447c0192ea9e275fb34b3	mmseqs_top1	common	5	1	1.0	0.45666666666666667	True
513201b5e9cd85ea1a2bf16f34b4e24f4396b3afdbe931c3ea42723a92c35334	protein_cold:p1:cNone	101f25214cc8265040d6b9b1ef88e19fa0dea19714c447c0192ea9e275fb34b3	esm_cosine_top1	common	5	1	1.0	0.45666666666666667	True
58e6c18ab3f0e9411071ebd2c983d344e8561193673cd7ef52610d768f1b3f20	protein_cold:p1:cNone	c201b9cfa9022d5a18c3332760d8130a8fdf33f47792cfa419d792938b9a1ff6	mmseqs_top1	own	9	0	0.0	0.0	False
58e6c18ab3f0e9411071ebd2c983d344e8561193673cd7ef52610d768f1b3f20	protein_cold:p1:cNone	c201b9cfa9022d5a18c3332760d8130a8fdf33f47792cfa419d792938b9a1ff6	esm_cosine_top1	own	1	0	0.0	0.0	False
58e6c18ab3f0e9411071ebd2c983d344e8561193673cd7ef52610d768f1b3f20	protein_cold:p1:cNone	c201b9cfa9022d5a18c3332760d8130a8fdf33f47792cfa419d792938b9a1ff6	mmseqs_top1	common	0	0	0.0	0.0	False
58e6c18ab3f0e9411071ebd2c983d344e8561193673cd7ef52610d768f1b3f20	protein_cold:p1:cNone	c201b9cfa9022d5a18c3332760d8130a8fdf33f47792cfa419d792938b9a1ff6	esm_cosine_top1	common	0	0	0.0	0.0	False
7480a730a3a3dfb0c79d6f8e88e671b83d8e65cf1a2b0a6facc439bf0260e691	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	own	1	0	0.0	0.0	False
7480a730a3a3dfb0c79d6f8e88e671b83d8e65cf1a2b0a6facc439bf0260e691	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	own	5	0	0.0	0.0	False
7480a730a3a3dfb0c79d6f8e88e671b83d8e65cf1a2b0a6facc439bf0260e691	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	common	0	0	0.0	0.0	False
7480a730a3a3dfb0c79d6f8e88e671b83d8e65cf1a2b0a6facc439bf0260e691	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	common	0	0	0.0	0.0	False
75ecc7c4f5d52278ce5bd9af96c3e0ed981fe32f94ae85043543a8ed75c5fe63	protein_cold:p1:cNone	95f46ad6fc071838b1e53caa66c906e64803397eabef1be4827e0f17d12eba0d	mmseqs_top1	own	0	0	0.0	0.0	False
75ecc7c4f5d52278ce5bd9af96c3e0ed981fe32f94ae85043543a8ed75c5fe63	protein_cold:p1:cNone	95f46ad6fc071838b1e53caa66c906e64803397eabef1be4827e0f17d12eba0d	esm_cosine_top1	own	2	0	0.0	0.0	False
75ecc7c4f5d52278ce5bd9af96c3e0ed981fe32f94ae85043543a8ed75c5fe63	protein_cold:p1:cNone	95f46ad6fc071838b1e53caa66c906e64803397eabef1be4827e0f17d12eba0d	mmseqs_top1	common	0	0	0.0	0.0	False
75ecc7c4f5d52278ce5bd9af96c3e0ed981fe32f94ae85043543a8ed75c5fe63	protein_cold:p1:cNone	95f46ad6fc071838b1e53caa66c906e64803397eabef1be4827e0f17d12eba0d	esm_cosine_top1	common	0	0	0.0	0.0	False
795ef1b8714a759d9b8cb7fc855b15312511a5c8f9b8be78c081cd7a1cbfe7ba	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	own	52	0	0.0	0.0	False
795ef1b8714a759d9b8cb7fc855b15312511a5c8f9b8be78c081cd7a1cbfe7ba	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	own	2	0	0.0	0.0	False
795ef1b8714a759d9b8cb7fc855b15312511a5c8f9b8be78c081cd7a1cbfe7ba	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	common	0	0	0.0	0.0	False
795ef1b8714a759d9b8cb7fc855b15312511a5c8f9b8be78c081cd7a1cbfe7ba	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	common	0	0	0.0	0.0	False
83618860fad41d20f0945e036b4bc270c90e6c96b6ddd84eff31402ffef38fa4	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	mmseqs_top1	own	2	0	0.0	0.0	False
83618860fad41d20f0945e036b4bc270c90e6c96b6ddd84eff31402ffef38fa4	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	esm_cosine_top1	own	1	0	0.0	0.0	False
83618860fad41d20f0945e036b4bc270c90e6c96b6ddd84eff31402ffef38fa4	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	mmseqs_top1	common	0	0	0.0	0.0	False
83618860fad41d20f0945e036b4bc270c90e6c96b6ddd84eff31402ffef38fa4	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	esm_cosine_top1	common	0	0	0.0	0.0	False
8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	mmseqs_top1	own	1	0	0.0	0.0	False
8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	esm_cosine_top1	own	10	0	0.0	0.0	False
8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	mmseqs_top1	common	0	0	0.0	0.0	False
8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	esm_cosine_top1	common	0	0	0.0	0.0	False
90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	own	1	0	0.0	0.0	False
